area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,roi
2336,343084.5,0.006808818,3517.125555,686,1020,8128,11,1355.042969,684.9095459,179.300354,0.862854566,2021.10.11-16.28.14_RaspiY_side3_cameraA
422,444243.5,0.000949929,4017.655308,960,851,7398,9,18833.51367,2318.322021,13.85391426,0.992394821,2021.10.11-15.31.51_RaspiY_side2_cameraA
22120,412984.5,0.053561332,13032.99869,803,774,6084,13,721.0239868,459.3524475,121.1325073,0.770794837,2021.10.11-15.37.05_RaspiY_side4_cameraA
87714,404537.5,0.216825387,13006.07442,864,719,6163,22,804.3903809,501.2598267,97.37438202,0.782098421,2021.10.11-15.58.55_RaspiY_side2_cameraA
117930,595415,0.198063536,21394.62377,1199,861,7980,17,1008.512451,454.1742554,104.8265152,0.892856768,2021.10.11-15.22.46_RaspiY_side6_cameraA
2019,495096,0.004077997,4608.072448,1041,710,5955,10,4139.977539,1409.826294,18.17782211,0.940230174,2021.10.11-16.27.01_RaspiY_side7_cameraA
147215,563675,0.26117,14918.83897,1255,726,7773,19,1190.327026,572.3228149,94.37141418,0.876824035,2021.10.11-16.00.15_RaspiY_side6_cameraA
121888,487344,0.250106701,13901.96774,984,641,7017,13,872.59552,407.1508484,109.9652481,0.884469793,2021.10.11-14.33.35_RaspiY_side5_cameraA
62209,796459,0.078106971,14617.06922,1332,906,8704,15,2006.370605,1367.911499,0,0.73155348,2021.10.11-16.29.06_RaspiY_side2_cameraA
100558,514882.5,0.195302812,12192.62845,961,801,6937,19,851.5803833,482.2122498,90.71938324,0.824229627,2021.10.11-15.20.50_RaspiY_side6_cameraA
48839,286507.5,0.170463251,8643.449454,848,613,5878,14,1424.889771,600.5950928,73.66811371,0.906827079,2021.10.11-15.13.48_RaspiY_side6_cameraA
93305,612624,0.15230386,16866.34645,1118,802,8572,13,944.843811,487.0842285,111.0229111,0.856878599,2021.10.11-15.11.10_RaspiY_side5_cameraA
55829,612951.5,0.091082247,36935.89609,938,867,7236,9,762.9430542,591.104126,130.7241211,0.632245217,2021.10.11-16.19.36_RaspiY_side6_cameraA
49457,412676.5,0.119844479,26396.21519,766,809,6182,13,722.6459961,577.9888916,149.572998,0.600235922,2021.10.11-16.13.48_RaspiY_side2_cameraA
30149,442886.5,0.068073874,14187.18685,952,738,5722,11,4271.948242,1296.911377,108.5123215,0.952803467,2021.10.11-16.11.52_RaspiY_side2_cameraA
74190,601425,0.123357027,21324.92592,1046,775,7217,11,813.289978,470.5657654,100.696022,0.81561478,2021.10.11-15.06.44_RaspiY_side1_cameraA
87303,676570.5,0.12903755,11399.54025,1084,856,7383,16,1858.323242,788.2897339,128.6623383,0.905571298,2021.10.11-14.30.31_RaspiY_side1_cameraA
83456,418779.5,0.199283871,17729.76928,854,714,4921,29,699.5921631,575.3214111,69.02516174,0.568957596,2021.10.11-14.54.53_RaspiY_side3_cameraA
54944,548143,0.100236617,13713.5468,937,840,6442,9,667.7984009,621.7263794,126.7420578,0.364996,2021.10.11-15.18.36_RaspiY_side3_cameraA
79447,928810.5,0.085536285,17382.00593,1159,1332,9813,15,1017.085083,761.7342529,39.76984024,0.662639427,2021.10.11-16.31.20_RaspiY_side2_cameraA
72,125341.5,0.000574431,1809.023674,576,465,4212,11,204.2341919,184.128952,0,0.432658442,2021.10.11-16.10.55_RaspiY_side1_cameraA
17447,355773,0.049039697,20433.76969,1069,597,6989,13,1018.755127,547.9975586,56.31226349,0.843002906,2021.10.11-14.09.07_RaspiY_side4_cameraA
56131,919098,0.061071833,14985.00051,1112,1295,9432,11,3701.871826,1393.218018,110.1440659,0.926475528,2021.10.11-15.51.39_RaspiY_side5_cameraA
32888,519538.5,0.063302335,12955.89844,948,811,7467,17,796.3569946,566.0653687,111.3369751,0.703375369,2021.10.11-15.28.52_RaspiY_side3_cameraA
45797,599965,0.076332786,26117.5379,1036,818,6654,12,670.4645996,510.3902893,113.8769455,0.648460062,2021.10.11-15.02.46_RaspiY_side6_cameraA
99206,606333.5,0.163616228,15238.92386,957,771,7786,19,830.2976074,422.4823303,111.7755966,0.8608656,2021.10.11-15.14.53_RaspiY_side5_cameraA
72554,597192,0.121491915,23521.91161,1112,924,8226,16,1084.140381,611.5143433,123.2866287,0.82573751,2021.10.11-16.15.25_RaspiY_side4_cameraA
108253,689672.5,0.156962906,13365.67214,1133,810,9829,14,917.6658325,464.4632568,112.8022842,0.862453972,2021.10.11-15.35.56_RaspiY_side4_cameraA
95380,561656,0.169819249,15702.36306,966,803,6128,14,768.6933594,535.5588989,82.22584534,0.717349675,2021.10.11-14.39.51_RaspiY_side1_cameraA
70,4547,0.015394766,1057.991459,25,497,2955,10,496.007843,17.18469238,178.3694305,0.999399647,2021.10.11-16.10.55_RaspiY_side3_cameraA
72233,770457.5,0.093753387,18638.72238,1020,1098,8219,12,821.3366699,569.8198242,61.06629562,0.720195361,2021.10.11-16.15.25_RaspiY_side5_cameraA
36946,522330,0.070733061,13735.65618,977,860,6308,9,773.8823242,629.6755371,85.1714859,0.581343852,2021.10.11-14.42.26_RaspiY_side2_cameraA
170892,707062.5,0.24169292,11994.2661,1098,1028,8153,20,1069.243896,617.6407471,115.3667755,0.816289844,2021.10.11-16.12.53_RaspiY_side1_cameraA
49670,364021.5,0.136447985,14005.35354,602,812,5533,16,1187.90271,649.4815063,31.35020638,0.837298272,2021.10.11-14.45.23_RaspiY_side5_cameraA
44002,621691,0.070777927,14594.0693,1153,750,8075,11,822.7220459,459.1305847,100.8939285,0.829798704,2021.10.11-15.16.15_RaspiY_side6_cameraA
47140,351438,0.134134613,11132.62535,814,785,5477,12,835.7229614,626.3943481,60.88550568,0.661977263,2021.10.11-14.31.38_RaspiY_side2_cameraA
